code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
BDI,123,0.943,0.9543908157966453,0.8849875895578216,127.0,129.0,-0.06940322623882367,2.0,Burundi
KHM,108,0.968,0.9743627660273579,0.9201632573526684,111.0,112.0,-0.05419950867468959,1.0,Cambodia
CMR,132,0.894,0.8958871543172167,0.8958349124918171,136.0,127.0,-5.2241825399534925e-05,-9.0,Cameroon
CAN,55,0.996,0.9952195435434321,0.962287654044079,65.0,39.0,-0.032931889499353106,-26.0,Canada
CPV,93,0.985,0.9896366841524413,0.9322841415910685,90.0,99.0,-0.05735254256137279,9.0,Cape Verde
TCD,146,0.667,0.6922182726545166,0.6846180872348441,146.0,146.0,-0.007600185419672556,0.0,Chad
CHL,88,0.99,0.9886003529795023,0.9686854052105525,91.0,25.0,-0.019914947768949864,-66.0,Chile
CHN,127,0.934,0.9601785406320849,0.9336106368622568,121.0,96.0,-0.026567903769828094,-25.0,China
COL,1,1.0,1.0,0.9678791066298698,1.0,28.0,-0.032120893370130243,27.0,Colombia
COM,121,0.945,0.9551054412147619,0.9378810205512977,124.0,93.0,-0.01722442066346419,-31.0,Comoros
COD,145,0.683,0.8336598815673744,0.8281191321970303,142.0,140.0,-0.0055407493703441,-2.0,D.R. Congo
CRI,1,1.0,1.0,0.9547972665063087,1.0,53.0,-0.045202733493691305,52.0,Costa Rica
CIV,129,0.924,0.9275906185585452,0.8763648998184818,131.0,132.0,-0.05122571874006343,1.0,Côte D'Ivoire
HRV,40,0.998,0.9973168226118669,0.9473918190816211,53.0,75.0,-0.04992500353024587,22.0,Croatia
CYP,73,0.993,0.9928973859886243,0.9671318679741293,76.0,30.0,-0.025765518014495004,-46.0,Cyprus
CZE,1,1.0,1.0,0.9594127043111873,1.0,43.0,-0.0405872956888127,42.0,Czechia
DNK,46,0.998,0.9978468284134244,0.9581229987093286,48.0,45.0,-0.039723829704095825,-3.0,Denmark
DOM,1,1.0,1.0,0.9131154432309379,1.0,118.0,-0.08688455676906215,117.0,Dominican Republic
ECU,52,0.996,0.997458668407467,0.9550509719195746,51.0,50.0,-0.04240769648789244,-1.0,Ecuador
EGY,110,0.966,0.9749287114585077,0.9698839737691395,108.0,23.0,-0.005044737689368195,-85.0,Egypt
SLV,69,0.993,0.9955526697130672,0.9392503163070062,61.0,89.0,-0.056302353406061045,28.0,El Salvador
EST,1,1.0,1.0,0.9385130811748306,1.0,91.0,-0.061486918825169434,90.0,Estonia
SWZ,97,0.982,0.9764150088782833,0.9471005317963521,106.0,79.0,-0.029314477081931134,-27.0,Eswatini
ETH,136,0.865,0.878473449670263,0.8756874545619399,137.0,133.0,-0.002785995108323114,-4.0,Ethiopia
FJI,107,0.969,0.9678786604287595,0.9320947395470037,118.0,100.0,-0.03578392088175575,-18.0,Fiji
FIN,33,1.0,0.9994562722325934,0.9435879505224811,29.0,84.0,-0.055868321710112245,55.0,Finland
FRA,1,1.0,1.0,0.9635895993813034,1.0,35.0,-0.0364104006186966,34.0,France
GMB,117,0.957,0.9741766854951569,0.8536006263425264,112.0,137.0,-0.12057605915263048,25.0,Gambia
GEO,85,0.991,0.9914755642327286,0.973088320492956,83.0,18.0,-0.01838724373977263,-65.0,Georgia
DEU,91,0.987,0.9872962876392041,0.9678984047642107,94.0,27.0,-0.019397882874993333,-67.0,Germany
GHA,103,0.972,0.97865314296272,0.9761868187717997,104.0,15.0,-0.0024663241909202993,-89.0,Ghana
GRC,66,0.994,0.9939602498160629,0.9853731904100778,71.0,6.0,-0.008587059405985142,-65.0,Greece
GTM,98,0.982,0.9880202800661948,0.9659313583582659,93.0,33.0,-0.022088921707928866,-60.0,Guatemala
GIN,144,0.732,0.7603133438451577,0.7528110929724343,145.0,145.0,-0.007502250872723382,0.0,Guinea
GUY,63,0.994,0.9914675450819387,0.9395748920507939,84.0,88.0,-0.051892653031144764,4.0,Guyana
HND,1,1.0,1.0,0.9175892537160524,1.0,114.0,-0.08241074628394762,113.0,Honduras
HUN,34,0.999,0.9988103207566207,0.9635537671737737,38.0,36.0,-0.03525655358284696,-2.0,Hungary
