Entity,Code,Year,Life expectancy - Sex: female - Age: 0 - Variant: estimates,Life expectancy - Sex: male - Age: 0 - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,World regions according to OWID,time,time
Poland,POL,2023,82.354,74.877,38762796,Europe,2023,2023
Portugal,PRT,2023,85.118,79.437,10430680,Europe,2023,2023
Puerto Rico,PRI,2023,85.243,78.032,3241974,North America,2023,2023
Qatar,QAT,2023,83.368,81.611,2979038,Asia,2023,2023
Reunion,REU,2023,86.333,80.531,874837,Africa,2023,2023
Romania,ROU,2023,79.555,72.397,19118433,Europe,2023,2023
Russia,RUS,2023,79.037,67.256,145440454,Europe,2023,2023
Rwanda,RWA,2023,69.886,65.493,13954429,Africa,2023,2023
Saint Barthelemy,BLM,2023,86.81,81.462,11068,North America,2023,2023
Saint Helena,SHN,2023,80.622,73.869,5281,Africa,2023,2023
Saint Kitts and Nevis,KNA,2023,76.023,68.573,46743,North America,2023,2023
Saint Lucia,LCA,2023,76.304,69.311,179241,North America,2023,2023
Saint Martin (French part),MAF,2023,83.839,76.766,27500,North America,2023,2023
Saint Pierre and Miquelon,SPM,2023,81.516,72.753,5673,North America,2023,2023
Saint Vincent and the Grenadines,VCT,2023,74.315,68.664,101286,North America,2023,2023
Samoa,WSM,2023,73.662,69.861,216630,Oceania,2023,2023
San Marino,SMR,2023,87.1,84.206,33705,Europe,2023,2023
Sao Tome and Principe,STP,2023,73.728,66.239,230834,Africa,2023,2023
Saudi Arabia,SAU,2023,81.156,77.097,33264239,Asia,2023,2023
Senegal,SEN,2023,70.754,66.79,18077527,Africa,2023,2023
Serbia,SRB,2023,80.042,73.5,6773156,Europe,2023,2023
Seychelles,SYC,2023,76.515,69.937,127910,Africa,2023,2023
Sierra Leone,SLE,2023,63.502,60.065,8460469,Africa,2023,2023
Singapore,SGP,2023,86.236,81.24,5789037,Asia,2023,2023
Sint Maarten (Dutch part),SXM,2023,79.531,73.698,42734,North America,2023,2023
Slovakia,SVK,2023,81.581,75.022,5518008,Europe,2023,2023
Slovenia,SVN,2023,84.337,78.896,2118353,Europe,2023,2023
Solomon Islands,SLB,2023,71.982,69.217,799964,Oceania,2023,2023
Somalia,SOM,2023,61.388,56.35,18358576,Africa,2023,2023
South Africa,ZAF,2023,69.599,62.609,63212339,Africa,2023,2023
South Korea,KOR,2023,87.158,81.194,51748695,Asia,2023,2023
South Sudan,SSD,2023,60.627,54.636,11483321,Africa,2023,2023
Spain,ESP,2023,86.312,80.962,47911535,Europe,2023,2023
Sri Lanka,LKA,2023,80.593,74.244,22971566,Asia,2023,2023
Sudan,SDN,2023,69.626,63.272,50042754,Africa,2023,2023
Suriname,SUR,2023,76.835,70.458,628840,South America,2023,2023
Sweden,SWE,2023,85.101,81.444,10551441,Europe,2023,2023
Switzerland,CHE,2023,85.833,82.009,8870520,Europe,2023,2023
Syria,SYR,2023,74.412,69.829,23594567,Asia,2023,2023
Taiwan,TWN,2023,83.607,77.628,23317100,Asia,2023,2023
Tajikistan,TJK,2023,73.976,69.574,10389764,Asia,2023,2023
Tanzania,TZA,2023,69.775,64.198,66617556,Africa,2023,2023
Thailand,THA,2023,80.861,72.161,71702397,Asia,2023,2023
Togo,TGO,2023,62.923,62.536,9304289,Africa,2023,2023
Tokelau,TKL,2023,78.922,74.954,2390,Oceania,2023,2023
Tonga,TON,2023,76.405,69.37,104565,Oceania,2023,2023
Trinidad and Tobago,TTO,2023,76.683,70.378,1502887,North America,2023,2023
Tunisia,TUN,2023,79.149,73.918,12200387,Africa,2023,2023
Turkey,TUR,2023,79.855,74.529,87270451,Asia,2023,2023
Turkmenistan,TKM,2023,72.839,66.871,7364394,Asia,2023,2023
Turks and Caicos Islands,TCA,2023,80.297,75.826,46171,North America,2023,2023
Tuvalu,TUV,2023,70.698,63.765,9788,Oceania,2023,2023
Uganda,UGA,2023,71.116,65.268,48656550,Africa,2023,2023
Ukraine,UKR,2023,80.198,66.9,37732781,Europe,2023,2023
United Arab Emirates,ARE,2023,84.204,81.978,10642052,Asia,2023,2023
United Kingdom,GBR,2023,83.208,79.362,68682907,Europe,2023,2023
