code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
OMN,130,0.52,0.5629094950396663,0.5580992721137602,130.0,130.0,-0.004810222925906049,0.0,Oman
PAK,143,0.36,0.39719982355954064,0.3926722822415768,144.0,144.0,-0.004527541317963846,0.0,Pakistan
PAN,51,0.723,0.7118739693550861,0.6853141904782171,58.0,63.0,-0.026559778876869,5.0,Panama
PRY,79,0.68,0.6746660627105124,0.6635524637226478,85.0,82.0,-0.011113598987864681,-3.0,Paraguay
PER,77,0.686,0.6770004397499791,0.6792391496959875,84.0,67.0,0.002238709946008388,-17.0,Peru
PHL,20,0.775,0.7722656453911678,0.7361096150575969,15.0,25.0,-0.036156030333570954,10.0,Philippines
POL,62,0.712,0.6999372756798355,0.6683635874491758,64.0,79.0,-0.03157368823065976,15.0,Poland
PRT,27,0.754,0.7431578452833271,0.7267875690091761,34.0,30.0,-0.016370276274150997,-4.0,Portugal
QAT,123,0.557,0.5793172854568337,0.5700235209812663,124.0,129.0,-0.009293764475567401,5.0,Qatar
ROU,83,0.676,0.6844640217292471,0.652675506284472,77.0,90.0,-0.03178851544477512,13.0,Romania
RWA,86,0.668,0.6905548183278056,0.6879620625271938,74.0,62.0,-0.0025927558006118012,-12.0,Rwanda
SAU,125,0.551,0.5742397819768971,0.575302914035115,127.0,126.0,0.0010631320582179526,-1.0,Saudi Arabia
SEN,138,0.473,0.49733589515108856,0.4917641399059602,138.0,138.0,-0.005571755245128374,0.0,Senegal
SRB,63,0.71,0.7128921736140764,0.6885632201929403,56.0,59.0,-0.024328953421136168,3.0,Serbia
SLE,87,0.668,0.653596910816357,0.6478186598575453,96.0,95.0,-0.0057782509588116815,-1.0,Sierra Leone
SGP,18,0.779,0.784908245106398,0.7859334017275332,11.0,7.0,0.0010251566211352259,-4.0,Singapore
SVK,52,0.72,0.7131304346853361,0.6938759049890812,55.0,53.0,-0.019254529696254852,-2.0,Slovakia
SVN,23,0.762,0.7633098736871007,0.742265685386391,23.0,19.0,-0.021044188300709643,-4.0,Slovenia
ZAF,96,0.653,0.6509721922731112,0.6434368069253417,97.0,98.0,-0.007535385347769541,1.0,South Africa
KOR,112,0.605,0.6188574537264973,0.6224870952575219,110.0,105.0,0.00362964153102463,-5.0,South Korea
ESP,45,0.732,0.7336465200081824,0.7332568506554871,42.0,29.0,-0.0003896693526953543,-13.0,Spain
LKA,127,0.544,0.5760764768312063,0.5820983253316065,126.0,123.0,0.006021848500400218,-3.0,Sri Lanka
SDN,145,0.337,0.4763390253276088,0.4829594166373212,140.0,139.0,0.006620391309712426,-1.0,Sudan
SUR,35,0.742,0.6933401477231902,0.6681126483357654,71.0,80.0,-0.025227499387424746,9.0,Suriname
SWE,12,0.794,0.7881567453545922,0.7821215576692621,10.0,8.0,-0.006035187685330179,-2.0,Sweden
CHE,53,0.72,0.7356085811462864,0.7380536024673285,41.0,23.0,0.0024450213210421845,-18.0,Switzerland
TJK,108,0.619,0.6066168008201014,0.6050620492604393,115.0,113.0,-0.0015547515596621153,-2.0,Tajikistan
THA,21,0.772,0.7734767836841677,0.7337986914854775,14.0,28.0,-0.03967809219869023,14.0,Thailand
TLS,105,0.631,0.6593353410926089,0.6276020807870819,92.0,102.0,-0.031733260305527033,10.0,Timor-Leste
TGO,11,0.796,0.7465757664960393,0.6610241195660272,31.0,85.0,-0.08555164693001205,54.0,Togo
TUN,131,0.517,0.5500561412423668,0.5553098445480372,131.0,131.0,0.005253703305670432,0.0,Tunisia
TUR,133,0.507,0.5272983818437142,0.5290660239172256,135.0,134.0,0.0017676420735113219,-1.0,Türkiye
UGA,99,0.645,0.6600688705821115,0.6703981347520819,90.0,75.0,0.010329264169970376,-15.0,Uganda
UKR,40,0.737,0.7413629126296312,0.6905501818562896,37.0,57.0,-0.050812730773341586,20.0,Ukraine
ARE,124,0.553,0.5834574092632158,0.577346890341145,122.0,125.0,-0.006110518922070818,3.0,United Arab Emirates
GBR,58,0.717,0.7168620284711676,0.7218204691543295,52.0,35.0,0.004958440683161869,-17.0,United Kingdom
TZA,69,0.705,0.6972810179625004,0.6884318313667598,69.0,60.0,-0.008849186595740632,-9.0,Tanzania
USA,22,0.765,0.765095761745132,0.7455320888150291,20.0,17.0,-0.01956367293010297,-3.0,United States
URY,64,0.709,0.7117133216738187,0.6910752681867446,59.0,56.0,-0.02063805348707415,-3.0,Uruguay
UZB,115,0.598,0.5967941597500475,0.5958698025611666,116.0,115.0,-0.0009243571888808422,-1.0,Uzbekistan
VUT,55,0.719,0.7068427286291733,0.7153639254692216,62.0,39.0,0.008521196840048262,-23.0,Vanuatu
VNM,29,0.751,0.7544362938401007,0.7243055586061979,26.0,33.0,-0.03013073523390275,7.0,Vietnam
ZMB,38,0.74,0.7271864447493029,0.7256379915033697,46.0,32.0,-0.0015484532459332234,-14.0,Zambia
ZWE,14,0.786,0.7819067952082717,0.7815499208406986,12.0,9.0,-0.0003568743675730346,-3.0,Zimbabwe
