code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
KOR,47,0.976,0.9717941646274011,0.9594132314731207,46.0,98.0,-0.012380933154280349,52.0,South Korea
ESP,100,0.966,0.9635877006814766,0.9647024422848669,100.0,56.0,0.0011147416033903124,-44.0,Spain
LKA,1,0.98,0.9753021659881411,0.9592638461670729,1.0,99.0,-0.01603831982106818,98.0,Sri Lanka
SDN,107,0.965,0.9623495455792552,0.9702060882130326,105.0,10.0,0.00785654263377733,-95.0,Sudan
SUR,31,0.979,0.9744926272125858,0.9587305105313615,30.0,100.0,-0.015762116681224292,70.0,Suriname
SWE,118,0.963,0.9607304680281443,0.9708433338492337,118.0,5.0,0.01011286582108939,-113.0,Sweden
CHE,115,0.964,0.9615400068036997,0.9701715073987084,113.0,11.0,0.008631500595008723,-102.0,Switzerland
TJK,69,0.97,0.9671750870762904,0.9653281358824539,69.0,50.0,-0.001846951193836488,-19.0,Tajikistan
THA,42,0.977,0.9723815510222149,0.9513914638894299,44.0,128.0,-0.02099008713278505,84.0,Thailand
TLS,105,0.965,0.9617941646274013,0.9552019447964368,112.0,115.0,-0.006592219830964474,3.0,Timor-Leste
TGO,30,0.979,0.9744926272125858,0.9623659766001107,30.0,74.0,-0.012126650612475087,44.0,Togo
TUN,81,0.969,0.9655877006814766,0.9664857687832197,78.0,45.0,0.000898068101743088,-33.0,Tunisia
TUR,98,0.966,0.9636987768718475,0.9671550595595326,97.0,40.0,0.0034562826876851638,-57.0,Türkiye
UGA,1,0.98,0.9753021659881411,0.9547286155477209,1.0,116.0,-0.020573550440420196,115.0,Uganda
UKR,42,0.977,0.9723815510222149,0.9423911134058878,44.0,141.0,-0.029990437616327137,97.0,Ukraine
ARE,119,0.963,0.9604606217696259,0.9660660690223607,119.0,47.0,0.005605447252734819,-72.0,United Arab Emirates
GBR,104,0.966,0.9628892380962921,0.9689305815283107,104.0,21.0,0.006041343432018564,-83.0,United Kingdom
TZA,74,0.97,0.9666670857155505,0.9684222982629099,72.0,26.0,0.0017552125473594415,-46.0,Tanzania
USA,77,0.97,0.9666670857155505,0.9647814858227132,72.0,55.0,-0.0018855998928373197,-17.0,United States
URY,1,0.98,0.9753021659881411,0.957911209403985,1.0,105.0,-0.017390956584156125,104.0,Uruguay
UZB,136,0.959,0.954952934695549,0.9512383410736902,139.0,129.0,-0.003714593621858775,-10.0,Uzbekistan
VUT,64,0.971,0.9671117047636966,0.9488547627544742,70.0,133.0,-0.018256942009222343,63.0,Vanuatu
VNM,144,0.947,0.9417150938799903,0.9155580621934583,144.0,146.0,-0.02615703168653205,2.0,Vietnam
ZMB,1,0.98,0.9753021659881411,0.9609959749146846,1.0,89.0,-0.014306191073456542,88.0,Zambia
ZWE,1,0.98,0.9753021659881411,0.9619166524062626,1.0,76.0,-0.013385513581878561,75.0,Zimbabwe
