IndicatorCode,IndicatorName,Country,CountryCode,Year,Sex,DeathRate,DeathRate_Low,DeathRate_High,Comments,DataSource
SA_0000001444,,KEN,COUNTRY,2004,SEX_MLE,127.3,,,,
SA_0000001444,,KGZ,COUNTRY,2004,SEX_BTSX,354.8,,,,
SA_0000001444,,KGZ,COUNTRY,2004,SEX_FMLE,298.8,,,,
SA_0000001444,,KGZ,COUNTRY,2004,SEX_MLE,429.5,,,,
SA_0000001444,,KHM,COUNTRY,2004,SEX_BTSX,134.3,,,,
SA_0000001444,,KHM,COUNTRY,2004,SEX_FMLE,112.1,,,,
SA_0000001444,,KHM,COUNTRY,2004,SEX_MLE,167.8,,,,
SA_0000001444,,KIR,COUNTRY,2004,SEX_BTSX,12.6,,,,
SA_0000001444,,KIR,COUNTRY,2004,SEX_FMLE,5.6,,,,
SA_0000001444,,KIR,COUNTRY,2004,SEX_MLE,19.9,,,,
SA_0000001444,,KNA,COUNTRY,2004,SEX_BTSX,123.7,,,,
SA_0000001444,,KNA,COUNTRY,2004,SEX_FMLE,99.2,,,,
SA_0000001444,,KNA,COUNTRY,2004,SEX_MLE,152.4,,,,
SA_0000001444,,KOR,COUNTRY,2004,SEX_BTSX,40.3,,,,
SA_0000001444,,KOR,COUNTRY,2004,SEX_FMLE,31.8,,,,
SA_0000001444,,KOR,COUNTRY,2004,SEX_MLE,49.9,,,,
SA_0000001444,,KWT,COUNTRY,2004,SEX_BTSX,104.1,,,,
SA_0000001444,,KWT,COUNTRY,2004,SEX_FMLE,73.3,,,,
SA_0000001444,,KWT,COUNTRY,2004,SEX_MLE,126.0,,,,
SA_0000001444,,LAO,COUNTRY,2004,SEX_BTSX,208.4,,,,
SA_0000001444,,LAO,COUNTRY,2004,SEX_FMLE,181.0,,,,
SA_0000001444,,LAO,COUNTRY,2004,SEX_MLE,241.7,,,,
SA_0000001444,,LBN,COUNTRY,2004,SEX_BTSX,218.5,,,,
SA_0000001444,,LBN,COUNTRY,2004,SEX_FMLE,182.7,,,,
SA_0000001444,,LBN,COUNTRY,2004,SEX_MLE,257.4,,,,
SA_0000001444,,LBR,COUNTRY,2004,SEX_BTSX,126.1,,,,
SA_0000001444,,LBR,COUNTRY,2004,SEX_FMLE,103.6,,,,
SA_0000001444,,LBR,COUNTRY,2004,SEX_MLE,154.0,,,,
SA_0000001444,,LBY,COUNTRY,2004,SEX_BTSX,207.4,,,,
SA_0000001444,,LBY,COUNTRY,2004,SEX_FMLE,159.4,,,,
SA_0000001444,,LBY,COUNTRY,2004,SEX_MLE,250.7,,,,
SA_0000001444,,LCA,COUNTRY,2004,SEX_BTSX,48.3,,,,
SA_0000001444,,LCA,COUNTRY,2004,SEX_FMLE,36.4,,,,
SA_0000001444,,LCA,COUNTRY,2004,SEX_MLE,61.9,,,,
SA_0000001444,,LKA,COUNTRY,2004,SEX_BTSX,100.7,,,,
SA_0000001444,,LKA,COUNTRY,2004,SEX_FMLE,75.6,,,,
SA_0000001444,,LKA,COUNTRY,2004,SEX_MLE,129.0,,,,
SA_0000001444,,LSO,COUNTRY,2004,SEX_BTSX,81.0,,,,
SA_0000001444,,LSO,COUNTRY,2004,SEX_FMLE,60.2,,,,
SA_0000001444,,LSO,COUNTRY,2004,SEX_MLE,111.7,,,,
SA_0000001444,,LTU,COUNTRY,2004,SEX_BTSX,250.8,,,,
SA_0000001444,,LTU,COUNTRY,2004,SEX_FMLE,186.3,,,,
